Assigned Breach Number,Year,Date Reported To OCA,Organization Name,MA Residents Affected,Breach Occured at Reporting Entity,SSN Breached,Drivers Licenses Breached,Account Number Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
16279,2020,1/2/2020,North Shore Medical Center,1,1,1,0,0,0,1,0,0
16280,2020,1/2/2020,Savers Bank,1,0,0,0,0,1,0,0,0
16281,2020,1/2/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16282,2020,1/2/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16283,2020,1/2/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16287,2020,1/2/2020,Rockland Trust Company,1,1,0,0,1,0,0,0,0
16288,2020,1/2/2020,"American Express Travel Related Services Company, Inc",16,0,0,0,0,1,0,0,0
16289,2020,1/2/2020,Plancorp LLC,2,1,1,0,1,0,1,0,0
16290,2020,1/2/2020,"American Express Travel Related Services Company, Inc.",2,0,0,0,0,1,0,0,0
16291,2020,1/2/2020,"Robbins Brothers Jewelry, Inc.",1,1,0,1,0,0,1,0,0
16292,2020,1/2/2020,"American Express Travel Related Services Company, Inc",4,0,0,0,0,1,0,0,0
16295,2020,1/2/2020,St. Mary's Credit Union,1,0,0,0,0,1,0,0,0
16297,2020,1/3/2020,City of Holyoke Gas & Electric Department,2500,0,0,0,0,1,1,0,0
16298,2020,1/3/2020,"Vivo Capital, LLC",1,1,1,0,0,0,1,0,0
16299,2020,1/3/2020,"States Logistics Services, Inc.",1,1,0,0,1,0,1,0,0
16300,2020,1/3/2020,Energy One Federal Credit Union,1,1,0,0,1,0,0,0,0
16261,2020,1/3/2020,Pacific Life Insurance Company,2,0,1,0,0,0,1,0,0
18479,2020,1/4/2020,Greater Atlanta Christian School,1,0,1,0,0,0,1,0,0
18482,2020,1/4/2020,"Florida Gulf Coast University Foundation, Inc.",77,0,0,0,1,0,1,0,0
18474,2020,1/5/2020,Somerset Berkley Regional High School,85,1,1,1,0,1,1,0,0
16260,2020,1/5/2020,"HelloTech, Inc.",103,1,0,1,0,0,1,0,0
16301,2020,1/6/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
16302,2020,1/6/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16304,2020,1/6/2020,AmeriSave Mortgage Corporation,101,0,1,0,0,0,1,0,0
16305,2020,1/6/2020,National Electrical Contractors Association,2,1,1,0,0,1,1,0,0
16306,2020,1/6/2020,"American Express Travel Related Services Company, Inc.",242,0,0,0,0,1,0,0,0
16296,2020,1/6/2020,St. Mary's Credit Union,119,0,0,0,1,1,0,0,0
18545,2020,1/7/2020,Georgetown Day School,5,0,1,0,0,0,1,0,0
16307,2020,1/7/2020,Owens Community College,1,1,1,0,0,0,1,0,0
16308,2020,1/7/2020,Brigham and Women's Hospital,1,1,1,0,0,0,1,0,0
16311,2020,1/7/2020,Tabor Dental Associates,1,1,1,1,1,1,1,0,0
16314,2020,1/7/2020,Watertown Savings Bank,9,0,0,0,0,1,0,0,0
16316,2020,1/8/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16312,2020,1/8/2020,"American Express Travel Related Services Company, Inc.",270,0,0,0,0,1,0,0,0
16321,2020,1/8/2020,"American Express Travel Related Services Company, Inc",341,0,0,0,0,1,0,0,0
16323,2020,1/8/2020,Savers Bank,2,0,0,0,0,1,0,0,0
16327,2020,1/8/2020,The Cooperative Bank of Cape Cod,550,0,0,0,0,1,0,0,0
16328,2020,1/9/2020,National Holdings Corporation,72,1,1,1,1,0,1,0,0
16324,2020,1/9/2020,Eastern Bank,158,0,0,0,0,1,0,0,0
16325,2020,1/9/2020,American Outdoor Brands Corporation,20,1,0,0,1,0,1,0,0
16326,2020,1/9/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16322,2020,1/9/2020,"SharesPost, Inc.",100,1,1,0,1,0,1,0,0
16317,2020,1/9/2020,Salem Five Cents Savings Bank,1,0,0,0,0,1,0,0,0
16318,2020,1/9/2020,Salem Five Cents Savings Bank,6,0,0,0,0,1,0,0,0
16319,2020,1/9/2020,The Village Bank,3,0,0,0,0,1,0,0,0
16329,2020,1/10/2020,"American Express Travel Related Services Company, Inc. and /or its Affiliates (""AXP"")",5,0,0,0,0,1,0,0,0
16330,2020,1/10/2020,The Village Bank,1,0,0,0,0,1,0,0,0
16331,2020,1/10/2020,"Gatsby Enterprises, Inc.",10,1,1,0,0,0,0,0,0
16332,2020,1/10/2020,The City of Dothan,2,0,0,0,0,1,1,0,0
16333,2020,1/10/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
16334,2020,1/10/2020,The City of Port Orange,9,0,0,0,0,1,1,0,0
16335,2020,1/10/2020,"Health Quest Systems, Inc.",138,1,1,1,1,1,1,0,0
16336,2020,1/10/2020,PIH Health,12,1,0,1,0,0,0,0,0
16337,2020,1/13/2020,"Swift Financial, LLC",1,1,0,0,1,0,1,0,0
