Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18488,1/2/2021,"Anchor General Insurance Agency, Inc.",Electronic,Yes,2,,,Yes,,Yes,,
18478,1/4/2021,Matson Navigation Company,Electronic,Yes,375,Yes,,,,Yes,,
18481,1/4/2021,Kingswood Oxford School,Electronic,,40,Yes,,,,Yes,,
18483,1/4/2021,LineMaster Switch Corp & Footworks LLC,Electronic,Yes,10,Yes,,Yes,,Yes,,
18485,1/4/2021,Treasure Valley Community College,Electronic,Yes,5,Yes,,,,Yes,,
18486,1/4/2021,"Worcester Community Action Council, Inc",Electronic,Yes,9,Yes,Yes,Yes,,Yes,,
18487,1/4/2021,"Peter Pan Seafoods, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
24784,1/4/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
24785,1/4/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
24788,1/4/2021,Albright Capital Management,Electronic,Yes,1,Yes,,,,Yes,,
18470,1/5/2021,"Paddock Publications, Inc.",Electronic,Yes,15,Yes,Yes,,,Yes,,
18471,1/5/2021,South Country Health Alliance,Electronic,Yes,17,Yes,,,,Yes,,
18472,1/5/2021,"American Express Travel Related Services Company, Inc.",Electronic,,336,,,,Yes,,,
18473,1/5/2021,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
18475,1/5/2021,Liberty Christian School,Electronic,,2,Yes,,,,Yes,,
18476,1/5/2021,St. Mary's Credit Union,Electronic,,4,,,,Yes,,,
18477,1/5/2021,The Village Bank,Electronic,,1,,,,Yes,,,
18396,1/6/2021,SAVERS BANK,Electronic,,2,,,,Yes,,,
18456,1/6/2021,Bay Cove Human Services,Electronic,Yes,1,,,,,,,
18457,1/6/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18459,1/6/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18460,1/6/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18461,1/6/2021,"BlueCross BlueShield of Tennessee, Inc.",Electronic,,3,Yes,,,,Yes,,
18462,1/6/2021,Charleston Day School,Electronic,,1,Yes,,,,Yes,,
18463,1/6/2021,North Shore Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
18464,1/6/2021,"Bay State Community Services, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
18465,1/6/2021,Watertown Savings Bank,Electronic,,3,,,,Yes,,,
18466,1/6/2021,The Governor's Academy,Electronic,,1409,Yes,,,,Yes,,
18467,1/6/2021,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
18469,1/6/2021,Francis Parker School,Electronic,,1,Yes,,,,Yes,,
18505,1/6/2021,Dassault Falcon Jet Corp.,Electronic,Yes,31,Yes,Yes,Yes,,Yes,,
18552,1/6/2021,Porter Gaud School,Electronic,,3,Yes,,,,Yes,,
18543,1/7/2021,"Tighe & Bond, Inc.",Electronic,,664,Yes,,,,Yes,,
18544,1/7/2021,Kents Hill School,Electronic,,253,Yes,,,,Yes,,
18546,1/7/2021,American Express Travel Related Services,Electronic,,3,,,,Yes,,,
18547,1/7/2021,EmPower HR,Electronic,Yes,5,Yes,,,,Yes,,
18548,1/7/2021,"American Express Travel Related Services Company, Inc",Electronic,,34,,,,Yes,,,
18549,1/7/2021,The Village Bank,Electronic,,1,,,,Yes,,,
18550,1/7/2021,"General Datatech, LP",Electronic,Yes,14,Yes,Yes,,,Yes,,
18551,1/7/2021,Old Trail School,Electronic,,6,Yes,,,,Yes,,
18527,1/8/2021,St. Norbert College,Paper,Yes,11,Yes,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18528,1/8/2021,Roper St. Francis Healthcare,Electronic,Yes,13,Yes,,,,Yes,,
18529,1/8/2021,Shattuck-St. Mary's School,Electronic,Yes,4,Yes,Yes,Yes,,Yes,,
18530,1/8/2021,US Fertility LLC,Electronic,Yes,2936,Yes,,Yes,,Yes,,
18531,1/8/2021,Mascoutah School District 19,Electronic,Yes,1,Yes,,,,Yes,,
18532,1/8/2021,Annunciation Orthodox School,Electronic,,3,Yes,,,,Yes,,
18533,1/8/2021,"Wells Fargo Bank, N.A.",Electronic,Yes,3,,Yes,,,Yes,,
18534,1/8/2021,"CION Investment Group, LLC",Electronic,Yes,2,Yes,,,,Yes,,
18535,1/8/2021,Massachusetts Department of Transportation Registry of Motor Vehicles,Both,Yes,1,,,Yes,,,,
18536,1/8/2021,Nitta Corporation of America,Electronic,Yes,1,Yes,,,,Yes,,
18537,1/8/2021,County of Mercer,Electronic,Yes,1,Yes,,,,Yes,,
18538,1/8/2021,"Charles Schwab & Co., Inc.",Paper,Yes,1,,Yes,,,,,
18539,1/8/2021,"Granderson Des Rochers, LLP",Electronic,Yes,1,Yes,,,,Yes,,
18540,1/8/2021,WINCHESTER SAVINGS BANK,Electronic,,3,,,,Yes,,,
18541,1/8/2021,"Wilmington Surgical Associates, P.A.",Electronic,Yes,51,Yes,,,,Yes,,
18542,1/8/2021,"JPMorgan Chase Bank, N.A.",Paper,Yes,1,Yes,Yes,,,Yes,,
18526,1/9/2021,"American Anesthesiology, Inc.",Electronic,Yes,419,Yes,Yes,Yes,Yes,Yes,,
18525,1/10/2021,American Health Information Management Association,Electronic,,145,,,,Yes,Yes,,
18520,1/11/2021,Veritex Holdings Inc.,Electronic,Yes,36,Yes,Yes,,Yes,Yes,,
18521,1/11/2021,"Town of Bedford, Massachusetts",Electronic,Yes,33,,Yes,,,Yes,,
18522,1/11/2021,Robinson Financial Group,Electronic,Yes,2,Yes,,Yes,,Yes,,
18523,1/11/2021,The Village Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18524,1/11/2021,PASCO scientific,Electronic,Yes,3,Yes,,,,Yes,,
18519,1/12/2021,Fort McClellan Credit Union,Electronic,Yes,1,Yes,,,,Yes,,
18508,1/12/2021,Los Angeles Community College District,Electronic,,64,Yes,,,,Yes,,
18509,1/12/2021,"GreeneHurlocker, PLC",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
18510,1/12/2021,"National Board for Certified Counselors, Inc",Electronic,Yes,11973,Yes,,,,Yes,,
18511,1/12/2021,Kuberneo CPA,Electronic,Yes,1,Yes,,,,Yes,,
18512,1/12/2021,"Wells Fargo Bank, N.A.",Electronic,,1,,Yes,,,Yes,,
18513,1/12/2021,Wayne State Foundation,Electronic,,23,Yes,,,,Yes,,
18514,1/12/2021,Grinnell College,Electronic,,1,Yes,,,,Yes,,
18515,1/12/2021,Frame It Easy,Electronic,Yes,146,,,,Yes,Yes,,
18516,1/12/2021,President and Fellows of Harvard College,Electronic,,136,Yes,Yes,Yes,Yes,Yes,,
18517,1/12/2021,American Federation of Musicians and Employers' Pension Fund,Electronic,Yes,11,Yes,,,,Yes,,
18554,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18555,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18556,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18557,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18558,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18559,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
18560,1/12/2021,Mutual One Bank,Electronic,,2,,,,Yes,,,
18561,1/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
